StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Room,Open Door,Social Competence,Identifies Humans,Iden Individual,Iden Groups,Recognize Behavior,Adapts Behavior,Predicts Behavior,Recognize Cognition,Adapts Cognition,Predict Cognition,Recognize Emotion,Adapt Emotion,Predict Emotion,Friendly,Helpful1,Helpful2,Caring1,Caring2,Trustworthy1,Trustworthy2,Rude1,Rude2,Conceited,Hostile1,Free1,Free2,Free3,FreeRobot
2022-04-21 11:59:53,2022-04-21 12:08:24,0,134.197.0.150,100,511,1,2022-04-21 12:08:25,R_3IaQkHwZud8NwQT,,,,,39.5473,-119.7951,qr,EN,1,2,3,5,4,3,4,3,4,3,3,3,3,3,2,3,4,4,3,3,4,3,2,2,2,4,Made sense the counter was the drop off area and got to it fine,A little more confusing because the door it stoped at was open but it made sense that was the place to drop thr package off,"Got a little confused because it stopped outside a double emergency exit door. It made sense to leave the package their but the robot seemed to wait until thr door was opened to move again, not when i waved at the sensor","Seems smart and able to get around humans pretty easily, just with some maneuvering but it seems to do well at understanding if its being followed and can give a good sense of where its target is"
2022-04-21 12:29:35,2022-04-21 12:35:33,0,134.197.0.150,100,357,1,2022-04-21 12:35:34,R_sYUYswunPpP9tsZ,,,,,39.5473,-119.7951,qr,EN,1,2,4,5,4,1,4,4,2,1,1,1,1,1,1,1,5,5,1,1,4,3,1,1,1,1,"Simple, given three plausible decisions with low stakes","Took a little more thought since the room inside could’ve been off limits to outsiders. ","Most thought provoking, the robot stopped at a door that labeled an alarm would sound if it was opened, however the robot did not indicate it was at the destination ",Was able to do its job of transporting packages effectively
2022-04-21 12:52:58,2022-04-21 12:57:31,0,134.197.0.150,100,273,1,2022-04-21 12:57:32,R_246ozwGrRB0ISIJ,,,,,39.5473,-119.7951,qr,EN,1,2,4,5,4,3,5,5,3,3,3,2,2,3,2,3,4,4,2,2,4,3,3,3,4,1,It went well and the robot adapted to the movements of passerbys effectively.,The second delivery also went well with the robot effectively stopping when its path conflicted with a person's.,"The third delivery also went well, however it immediately ran itself into the wall twice after being stopped at the waypoint for about 20 seconds ",The robot was very interesting and it was failr expedient in its navigation of the @One.
2022-04-21 13:10:22,2022-04-21 13:14:25,0,134.197.0.151,100,243,1,2022-04-21 13:14:26,R_3KxyMenb6vAe7lG,,,,,39.5473,-119.7951,qr,EN,1,2,5,4,3,3,2,4,2,4,2,4,1,1,1,4,5,5,3,3,5,5,1,1,1,1,The robot left the first one at the production desk and promptly went to the next delivery,"This delivery was also smooth, and the robot waited outside of the door until scanned.","For the third delivery, the robot stopped in front of the emergency door. I didn’t open the door, and tried to scan the robot again until it finally went back to the original starting point.","It’s great! I think it has very good spatial awareness- rode smoothly and didn’t bump in any walls, and didn’t move until scanned"
2022-04-21 17:22:49,2022-04-21 17:24:43,0,134.197.0.151,100,114,1,2022-04-21 17:24:44,R_2WBdecTxnAomUl0,,,,,39.5473,-119.7951,qr,EN,2,2,5,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,4,3,4,4,1,1,1,1,Very Insightful,Very Impressive,A little confusing but it still worked through it,Very Impressive
2022-04-21 17:22:48,2022-04-21 17:25:39,0,134.197.0.150,100,171,1,2022-04-21 17:25:39,R_1C3ExCD3runV2AG,,,,,39.5473,-119.7951,qr,EN,2,2,4,5,3,3,5,3,1,1,1,1,1,1,1,3,5,5,2,3,1,1,1,1,1,1,"I gained a different opinion on the robot being helpful ","It actually followed a route ",Was confused why it lead to a door with alarm and wasn’t sure what to do,It is awesome
2022-04-21 17:44:03,2022-04-21 17:49:24,0,134.197.0.151,100,320,1,2022-04-21 17:49:24,R_2Y8FUwCoMXRzSef,,,,,39.5473,-119.7951,qr,EN,2,2,4,5,4,3,3,3,2,1,2,1,1,2,2,2,5,5,3,3,2,3,2,2,2,1,I thought it was cool and convenient,Pretty handy,N/a,The robot was helpful and cool sensing people around
2022-04-22 10:18:45,2022-04-22 10:24:44,0,134.197.0.151,100,359,1,2022-04-22 10:24:44,R_31acUwbwAuhw3Bz,,,,,39.5473,-119.7951,qr,EN,2,2,4,4,4,2,4,5,4,1,4,1,1,1,1,1,4,4,1,1,3,3,3,2,3,2,"It went fine and followed instructions ","Also was fine and followed instructions ",Unless instructed/coded to try and go through the emergency exit then it completed it task. But if it wasn’t instructed to do so it still managed to turn around and return.,It’s an alright idea but we already have a robot like this on campus. It’s kinda of a niche thing to do since it can only go such a distance so there are still complications at this time and it is always unsure what will happen to a robot if it were to go further from its origin point.
2022-04-22 10:45:30,2022-04-22 10:50:09,0,174.208.105.58,100,279,1,2022-04-22 10:50:10,R_3PLCK0UUtjIUzS6,,,,,38.6226,-121.3885,qr,EN,2,2,4,4,4,3,5,4,5,4,4,3,3,3,4,4,5,4,3,3,4,3,2,2,2,1,It went well.,"It went well. ","I kept slamming into the door which was odd. ","It was cool and smart. "
2022-04-22 11:04:11,2022-04-22 11:09:56,0,134.197.0.150,100,344,1,2022-04-22 11:09:57,R_3HB9Wmq4u3vzehL,,,,,39.5473,-119.7951,qr,EN,2,2,4,3,2,2,3,3,4,3,4,3,3,3,3,4,5,4,3,3,3,3,1,2,3,1,"The delivery was smooth it went all the way there successfully and stopped befire hitting any walls, there were some weird pauses while the bot processes its location. ","There was a smooth rotation and went all the way there have only one pause at the doorway to the room. ","The bot ran into the emergency doorway and proceeded to keep trying to go through it. ","The robot's design is quite unique, I like the way it turns. I think some optimizations to help the weird pauses while moving would be good. "
2022-04-22 16:19:40,2022-04-22 16:23:23,0,134.197.0.149,100,222,1,2022-04-22 16:23:24,R_12zIOD4lt8OXDUE,,,,,39.5473,-119.7951,qr,EN,1,2,4,4,4,2,4,2,2,2,2,2,1,1,1,2,4,4,2,2,2,2,2,2,2,1,"Went very well, performed proper task","I was confused on whether this was the proper deliver spot. If so, it performed the task wel.",I was confused on whether I should open the door for the robot. Made odd beeping sounds that I wasn’t expecting.,"I think that it can be very helpful in the future, but at the moment it’s more of a burden."
2022-04-22 17:24:16,2022-04-22 17:27:45,0,134.197.0.151,100,209,1,2022-04-22 17:27:45,R_1rdDb3wrjbm1fcG,,,,,39.5473,-119.7951,qr,EN,1,2,4,5,3,3,3,3,5,4,1,1,1,1,1,3,4,4,2,2,4,4,1,1,1,1,Went very smoothly,I was unsure of where I should put the package since the door was open but it looked like a more private area.,I was unsure whether or not the robot was done with its delivery at the door or if it needed to go through.,The robot is very cool and has a lot of potential.
