price,sqft_living,bedrooms,floors,zipcode
385000,1900,3,1,98118
675000,930,2,1,98006
197000,1690,3,1,98001
485000,1420,3,1.5,98103
1870000,4510,5,2,98040
295000,1980,3,1,98023
499000,1170,2,1,98103
1050000,2200,3,2,98102
191000,800,3,1,98023
500000,1480,3,3,98112
390000,2890,5,1,98144
979000,2690,3,3,98117
580000,3569,4,2,98055
369950,1270,3,3,98103
1800000,4490,5,2,98004
776000,3040,4,2,98052
519950,1170,3,3,98107
255000,2060,5,1,98146
495000,990,3,1,98105
510000,2430,4,2,98155
1150000,4460,4,2,98053
253000,1250,3,1,98010
503000,1540,3,1,98034
275000,1600,3,2,98038
249000,1110,3,1,98166
310000,1840,3,1,98058
750000,2520,3,1,98119
630000,2680,3,2,98051
599999,3830,9,2.5,98103
758000,2410,4,1,98033
248500,1720,4,1,98042
310000,2070,3,1,98031
460000,1760,3,2,98052
675000,1680,3,1,98005
526000,1550,2,1.5,98103
560000,4120,3,2,98014
415000,1830,4,2,98028
246000,1400,3,1,98166
314500,1870,3,1,98003
3200000,6210,7,2.5,98109
420000,1040,2,1.5,98144
535000,2720,3,1.5,98014
350000,1010,3,1,98033
515000,1580,3,1,98008
749950,2600,4,2,98116
230000,1920,3,2,98057
568000,2350,3,1.5,98118
250000,1100,1,1,98166
581000,2510,4,1,98033
651000,3240,3,2,98042
600000,2460,3,1,98027
500000,1010,2,1.5,98112
475000,820,2,1,98103
352000,2420,5,1,98118
420000,1770,3,2,98034
428000,1350,2,1,98053
599000,1960,3,1,98115
492000,3305,4,1.5,98133
630000,2550,2,1,98056
900000,4130,5,2,98077
1110000,2310,4,1,98004
575000,1650,4,1,98117
705000,2650,4,1.5,98116
940000,1890,4,1,98112
313000,2190,3,1,98023
618080,2030,3,2,98027
640000,2270,3,2,98056
485000,1610,3,1,98136
300000,760,2,1,98144
379500,1640,2,1,98053
339950,1630,3,2,98058
1500000,3560,6,2.5,98112
1340000,2960,3,2,98199
500000,1940,3,1,98027
239900,1410,3,1,98030
314950,1040,3,1,98059
361280,820,2,1,98126
100000,910,2,1,98001
540000,3700,7,2,98155
480500,2180,4,1,98072
280000,1600,3,2,98001
440000,1500,3,1,98118
530000,1340,3,1,98105
560000,1860,3,1,98027
775000,2540,3,1.5,98144
160000,1040,2,1,98032
209950,1380,3,1,98003
226500,1640,3,1,98042
380000,3000,5,1,98178
409500,2140,4,1,98028
690000,1760,3,1,98199
405000,1660,3,1,98133
375000,1830,3,2,98038
794154,2210,4,1,98199
185000,1490,4,1,98168
245000,1260,3,2,98133
1532500,4270,5,2,98033
1040000,3900,4,2,98033
425000,1150,2,3,98103
495000,2656,4,2,98001
365000,2410,5,1,98118
417250,1606,3,3,98125
339950,820,2,3,98103
615000,1540,2,1,98119
403000,2090,3,2,98019
980000,3160,5,1,98040
258000,1730,4,1,98023
533000,1670,3,1,98115
537500,2550,4,2,98075
830000,3040,5,1,98040
712000,1250,3,1.5,98103
262000,2020,4,2,98001
753888,2660,4,2,98029
134000,980,2,2,98288
402000,1960,3,1,98034
205000,720,2,1,98106
553650,1360,2,2,98112
559950,1870,2,1,98053
260000,2130,4,1,98032
270000,1810,4,2,98042
295000,2200,2,1,98027
719000,1690,3,1.5,98116
266000,1940,3,1,98030
325900,2320,4,2,98042
647500,2060,4,1,98166
1039000,3410,4,2,98144
569000,2250,4,2,98053
246000,1390,3,1,98031
515000,1060,2,1,98103
207000,1490,3,1,98168
780000,2480,4,1,98004
489990,2440,5,1.5,98042
335000,2240,3,1.5,98092
295000,1920,3,2,98003
385000,1890,3,1,98125
350000,2250,4,1,98030
235000,1270,2,1,98118
358000,960,2,2,98122
716500,3290,4,2,98075
228000,2000,4,1,98178
405000,1020,2,1,98177
538000,1840,4,1,98052
530000,1980,3,1,98008
1750000,3510,6,2.5,98112
636000,1230,2,1.5,98119
535000,2280,4,2,98077
1500000,2430,3,1,98004
868500,2920,3,3,98056
530000,2280,4,1.5,98115
450000,1510,3,1,98077
230000,950,3,1,98108
229000,1190,3,2,98178
437000,1310,3,1,98052
1307000,2800,5,1.5,98109
595000,1750,3,2,98033
660000,1320,3,1.5,98116
347500,2460,4,2,98023
297950,1240,3,1,98058
245000,1260,3,1,98148
543200,2820,6,1.5,98166
1250000,3820,4,2,98040
413450,1540,3,3,98103
330000,1550,2,1.5,98065
424500,1460,3,1,98052
230000,1390,3,1,98001
930000,2640,3,2,98105
349000,1590,3,1,98059
835000,1910,4,1.5,98103
988500,2015,3,2,98166
500000,1410,3,3,98103
499000,1110,2,2,98119
321950,860,2,2,98144
494000,2310,3,2,98028
441750,1020,2,3,98103
438000,980,2,2,98119
985000,4230,4,2,98077
352000,1640,3,1,98059
839900,3810,4,1,98056
765000,2790,4,2,98027
460000,1750,4,1.5,98117
224500,1430,4,1.5,98092
254000,1850,3,2,98042
255000,960,2,1,98070
610000,2480,3,1,98077
920000,3750,4,2,98074
402500,2600,4,2,98023
280950,1390,3,1,98057
604000,2260,4,2,98029
565000,2470,4,2,98155
255000,810,2,1,98146
445000,1650,4,1,98144
2400000,3000,3,1.5,98075
195000,720,2,1,98178
275000,1390,3,1,98024
387000,1445,3,2,98027
490000,1840,2,1.5,98107
505000,2100,3,2,98065
303500,1060,3,1,98034
270000,1500,3,1,98125
323000,1970,4,1,98058
382000,1410,3,3,98103
1370000,3720,4,1,98006
280000,2190,4,1,98001
260000,1920,3,1,98023
201500,1160,3,1,98032
1157200,5860,4,2,98072
536500,2000,4,1.5,98126
248000,2163,4,2,98001
532000,3480,5,1,98027
580000,2840,4,2,98028
463000,1150,2,1,98112
742500,3100,4,2,98122
260000,1420,3,1,98032
590000,2430,4,1,98077
312000,1930,4,1,98031
566000,1660,3,1,98052
511555,1400,3,1,98008
583000,2660,4,2,98053
290000,2000,4,1,98001
311100,2130,4,1,98055
325000,1352,3,3,98125
491300,1750,3,1,98074
315000,2320,5,1,98166
360000,1420,2,1,98055
330000,1940,4,2,98058
481450,1410,3,1,98117
234950,1360,3,1,98010
251000,1220,3,1,98045
782000,2830,4,2,98004
833000,3780,4,2,98075
542500,2330,4,2,98007
851000,3560,3,2,98053
325000,1470,4,1,98051
415000,3060,4,2,98051
252500,1030,3,1,98125
465000,1930,4,1,98023
336900,1780,3,1,98019
225000,2000,3,2,98038
270000,1690,3,1,98059
1702500,5190,5,2,98040
536000,1300,3,1.5,98115
585000,2400,4,2,98072
445000,1150,2,1,98115
320000,2310,4,2,98055
769900,2730,4,2,98116
557000,2840,4,2,98028
212000,1020,2,2,98133
376000,1340,3,3,98103
800000,3540,4,2,98014
2238888,7270,5,2,98029
324000,998,3,2,98117
549900,3060,5,1,98146
320000,2130,3,2,98038
875000,2520,4,1,98103
265000,1940,4,1,98031
394950,1350,3,3,98136
842500,2160,4,2.5,98122
368000,1370,3,2,98136
1225000,5420,4,1,98053
885000,2830,4,2,98105
453246,2010,3,2,98029
927000,3300,4,2,98004
490000,1230,2,2,98112
341000,1720,3,1.5,98155
235000,810,1,1,98126
1200000,1560,3,1.5,98040
560000,2560,3,1,98092
900000,4700,4,2,98005
255000,1220,2,1,98126
1575000,3650,5,1,98004
876650,2170,3,1.5,98040
540000,2540,4,1,98019
350000,910,2,1.5,98118
750000,2980,4,2,98006
582000,2120,4,1,98117
1315000,3460,4,2,98103
372500,2480,5,1,98178
410000,2200,3,2,98038
360000,1730,4,1,98106
1015000,2920,3,1,98116
225000,990,3,1,98058
647000,3040,4,2,98074
950000,4530,5,1.5,98077
185000,1370,3,1,98092
335000,1940,3,2,98058
210000,1040,3,2,98118
522000,1800,4,1,98033
770000,1720,3,1,98122
499950,980,3,1,98115
751000,3110,4,2,98052
330000,2100,5,1,98168
465000,2020,3,1,98033
850000,2350,4,1,98040
947500,3290,4,1.5,98040
302000,2180,5,2,98038
500000,1290,2,3,98107
201000,1460,3,1,98042
265000,1290,2,2,98053
870300,2350,4,1.5,98103
339000,1080,3,1,98155
690000,2670,4,2,98029
788000,3680,4,2,98027
315275,1440,3,1,98125
505000,1940,4,1,98122
368000,1280,3,1,98072
947500,2980,3,1.5,98166
156000,970,3,1,98003
610000,2110,4,1.5,98136
420000,1480,2,3,98052
192000,700,2,1,98166
910000,2700,3,1,98115
1300000,2330,4,2,98112
1346400,3380,5,1,98004
840000,2600,4,1.5,98109
300000,1360,2,1,98177
505000,2780,4,1,98034
110000,1250,3,1,98038
746000,2620,3,2,98006
211000,1350,3,1,98166
675000,2400,4,1,98107
734200,2760,4,1.5,98107
1225000,3070,4,1,98040
615000,2040,2,1.5,98070
630000,1770,4,2,98199
1264000,3490,4,2,98004
301500,830,2,2,98136
369000,980,2,2,98116
635000,1570,3,3,98103
1033888,3270,4,2,98052
383000,2160,4,2,98038
1050000,3280,4,2,98033
455000,3360,4,2,98058
819900,3150,5,2,98052
625000,1810,3,2,98122
651000,2740,4,2,98074
480000,3830,5,1,98077
757000,3190,3,2,98029
460000,2350,3,1,98028
267345,2510,4,1,98023
530000,1680,2,1,98053
449500,1770,3,1,98133
289000,1090,3,1,98056
373000,3001,5,2,98030
525000,2450,5,2,98117
777000,3610,3,2,98027
550000,2250,4,1,98005
523000,1240,3,1,98008
628000,2260,4,1,98115
581000,2090,4,1,98052
245000,2020,5,1,98168
415000,1960,3,1,98108
1895000,3120,5,2,98004
225000,1250,3,1,98030
287000,1490,3,1,98019
799200,2890,6,2.5,98102
239950,1900,3,1.5,98001
591000,1680,3,1,98122
700000,2030,3,2,98008
475000,3740,4,1,98058
575000,1580,3,1,98118
771000,1780,3,1.5,98122
155000,910,2,1,98118
550000,3440,7,2,98103
645000,1740,3,2,98008
464000,3400,5,1,98133
1050000,4400,4,2,98075
350000,2010,3,2,98070
591000,2710,4,2,98077
2555000,5300,4,2,98105
717000,1310,3,1,98117
225000,1950,4,1.5,98188
225000,1040,3,1,98168
345000,1090,3,1,98034
230000,650,2,1,98133
385000,1480,3,1,98146
90000,790,2,1,98034
860000,3560,4,1,98004
675000,3000,4,2,98056
975000,3490,4,2,98006
780000,2340,3,1,98040
370000,1650,3,1,98155
665000,1940,3,1.5,98107
675000,3410,5,1,98052
620000,1710,3,1.5,98103
1105000,2740,4,2,98109
450000,1250,3,2,98116
450000,2450,3,1,98042
530000,1690,3,1,98005
635000,1950,4,1,98007
580000,2290,5,1,98008
1550000,3370,5,1,98040
285000,1090,3,1,98166
375000,1190,3,1,98166
1400000,3530,5,2,98040
560000,1440,3,2,98103
405000,2180,4,1,98155
413000,1410,4,1,98126
287600,1950,3,2,98001
1680000,4860,5,2,98040
225000,1660,3,1,98001
319000,1390,3,1,98077
322500,1350,3,1,98019
570000,1530,3,1,98115
465000,1270,3,1,98115
435000,2140,4,2,98065
502000,2040,4,2,98028
525000,2876,3,2,98072
525000,1580,3,2,98112
660000,3400,4,2,98065
870000,3520,4,2.5,98136
650000,2210,4,2,98117
505000,2790,4,2,98059
330000,1450,3,1,98106
385000,1620,4,1,98133
306000,1220,3,3,98133
546000,2000,3,1,98117
925000,2190,4,2.5,98040
542000,1900,4,1,98006
800000,1700,3,1.5,98122
620000,2540,5,2,98117
175000,1170,2,1,98198
740000,5774,5,1,98003
345000,2120,3,2,98059
510000,2170,3,1,98074
530000,2450,4,1,98166
155000,700,2,1,98056
266000,1780,3,1,98030
257200,1850,3,1,98002
265000,1570,3,1,98092
372220,1290,3,1,98136
337500,1700,5,1,98108
582500,1159,2,1,98199
489200,1850,3,1.5,98034
405100,840,2,1,98199
372977,1690,3,2,98029
310000,1050,3,1,98028
538000,1400,3,1.5,98117
1400000,2550,3,2,98144
317000,1840,3,2,98038
702500,2360,3,2,98103
565000,2240,4,2,98059
723000,2700,4,2,98029
766950,3030,3,1.5,98077
682000,1830,3,1.5,98122
325000,2220,3,2,98031
543000,2090,3,1,98133
525000,1600,3,1.5,98115
364000,2010,4,1,98133
394475,830,2,1,98117
316000,2010,4,2,98092
339950,1050,3,1.5,98144
486000,2150,4,1,98024
160000,860,3,1,98030
930000,3100,3,1,98177
139000,1100,3,1,98001
562000,1830,3,1,98008
299000,1250,2,1,98003
511000,1820,3,2,98028
499000,2090,3,1.5,98051
356000,2100,3,2,98168
470000,2310,4,2,98019
715000,2060,4,1,98199
1120000,4470,4,2,98072
458000,1660,3,1,98125
966000,3810,5,2,98075
305495,2110,3,2,98059
543000,2370,2,1.5,98027
340000,1970,3,2,98056
633100,2470,4,2,98053
310000,1480,3,1,98133
349950,2257,5,1,98188
267800,700,2,1,98155
234000,1630,4,1,98092
740000,3430,4,2,98034
607500,2220,5,1.5,98199
223000,1340,3,1,98002
400000,980,2,1,98117
802000,2580,3,2,98052
253000,2230,4,2,98042
1058000,2290,4,1,98004
300000,1260,3,1,98115
625000,1680,4,1,98052
707000,3200,4,2,98075
950000,3320,4,2,98006
420000,3040,4,2,98092
498000,2270,4,1,98034
450000,2910,3,2,98003
955000,2510,5,2,98040
215000,1240,2,1,98168
437000,2580,3,2,98059
773000,2470,3,2,98029
1222500,4910,4,1.5,98074
256883,1690,3,2,98023
592500,2240,4,1,98074
252350,1650,3,1,98058
370000,2710,4,2,98092
465750,1260,3,1,98008
185000,1150,3,1,98168
582800,2550,4,1,98074
245000,1490,3,1,98030
302000,2020,4,1,98059
451555,1320,2,1,98116
250000,1230,3,1,98055
255000,2070,4,2,98003
840000,2930,4,1,98117
190000,1090,3,1,98003
349950,1400,3,1,98125
613000,1550,4,1.5,98103
300000,1220,3,1,98133
455000,1870,3,1,98034
335000,2150,3,2,98188
197500,980,3,1.5,98118
412500,1490,3,1,98052
395300,1120,3,1,98007
342400,1180,3,2,98028
749400,3240,4,2,98052
316500,2150,4,2,98031
390000,2240,3,2,98028
225000,1400,3,1,98058
550000,1980,3,1,98053
280000,1330,3,1.5,98045
1255000,3200,4,2,98105
575000,1490,2,1,98112
1000000,3920,5,2,98004
585000,2000,5,2,98103
620000,2680,4,2,98029
204700,1670,4,1,98001
695000,3150,4,2,98075
689900,2740,4,2,98027
375000,1890,4,1,98133
475000,2870,7,1,98125
215000,1160,3,1,98038
2100000,3550,4,2,98039
790000,1790,3,1,98199
350000,1680,3,1,98019
695000,4560,3,2,98074
263000,1590,3,2,98003
400000,1630,3,1,98155
525000,2700,3,2,98072
349950,1700,3,2,98055
1085000,3740,4,1,98077
744000,1980,4,2.5,98136
312500,880,2,1,98106
240000,1400,3,1,98133
495000,2050,4,1.5,98144
580050,2360,3,2,98115
640000,2560,4,1,98115
417000,1340,3,1,98006
174950,1060,3,1,98042
295000,850,3,1,98106
423000,1880,4,1,98034
839000,1230,3,1,98004
343000,2290,4,1,98146
467000,1660,3,1,98133
512500,1840,3,2,98116
575000,3020,4,1,98155
465000,1410,3,1,98133
270000,1010,3,1,98059
340000,1960,3,1,98106
765000,3580,5,2,98027
497000,2240,4,2,98118
803100,3310,4,2,98052
344000,1232,3,3,98125
828950,3930,4,2,98027
386380,1720,3,2,98053
312000,1490,3,2,98106
720000,3150,3,2,98024
914500,3950,4,3,98075
819995,3030,5,2,98056
252700,1070,2,1,98030
437500,2320,3,2,98045
350000,700,1,1,98115
619000,2720,3,2,98065
408200,1800,3,2,98106
451000,1560,3,1.5,98126
317000,1760,3,1,98058
799000,3120,4,2,98115
720000,2020,2,1,98146
490000,1450,3,1.5,98107
239900,1860,4,1,98023
446000,2270,4,1,98034
275000,1480,3,2,98045
239950,1460,5,2,98168
248000,1850,4,2,98023
619500,2170,3,2,98029
363750,1726,3,2,98070
385000,1180,3,1,98074
370000,1370,4,1,98034
425000,2670,3,1,98042
342000,1260,3,1,98125
345000,1980,4,1.5,98058
724800,2050,3,1,98112
725000,2830,5,2,98052
605000,910,2,1,98119
350000,2440,4,2,98038
785000,2180,3,1,98103
250000,1900,3,1,98038
565000,1520,3,3,98107
875000,2220,3,1,98199
862500,3280,4,2,98077
400000,2740,3,2,98032
282613,830,2,1,98133
174500,1010,2,1,98198
306500,2060,3,1,98003
445000,1990,3,2,98072
433000,2280,4,2,98056
306000,1870,3,2,98042
620000,1720,3,1.5,98105
245000,870,2,1,98106
238000,1020,3,2,98126
523000,1260,3,1.5,98116
522500,2370,3,2,98065
180000,1000,3,1,98146
375000,1100,3,2,98144
249000,1440,3,1,98031
730100,3120,4,2,98027
551000,2260,2,1,98011
375000,2790,4,2,98198
540000,1140,1,1.5,98103
605000,1290,3,2,98112
205000,1730,5,1,98042
645000,3160,4,2,98074
314000,2340,4,2,98038
330000,1170,3,1,98007
490000,1160,2,1,98117
445000,1970,3,1,98028
2000000,6490,5,2,98040
377500,1410,3,2,98027
480000,2430,4,2,98065
804995,3360,5,2,98074
341000,1480,3,2,98126
675000,3200,5,2,98065
611000,2134,3,2.5,98029
379950,1860,3,3,98155
1270000,5520,4,2,98006
500000,1310,2,2,98122
410000,1700,3,1,98199
415000,2480,3,2,98058
297000,1970,5,2,98022
575550,2060,4,1,98052
534640,2130,3,1,98072
352500,1410,3,1,98065
488000,1360,2,1,98115
732000,1940,3,1,98007
215000,1610,2,2,98056
592500,1420,2,1.5,98115
290000,1700,4,2,98031
475000,1490,2,1,98117
320000,2680,3,2,98023
1216000,3190,4,1,98006
290000,2120,5,1.5,98058
487250,1690,4,1.5,98103
339000,1830,4,2,98038
440000,1010,2,1.5,98107
366500,2070,4,1,98155
462000,1710,3,1.5,98118
560000,1660,4,1.5,98117
285000,2080,4,1,98178
280000,1270,3,2,98045
210000,1080,3,1,98106
690000,1610,3,1.5,98115
256500,1120,2,1,98070
411000,2500,4,2,98118
215000,970,3,1,98031
762000,3370,5,1.5,98109
359950,1290,3,1,98092
480000,3370,4,2,98045
1405000,3410,4,2,98004
390000,2490,4,2,98092
413500,770,2,1,98117
285000,810,1,2,98033
475000,3060,4,1,98133
386591,1690,3,2,98029
524950,1890,3,1,98117
241000,1470,2,2,98038
461000,1060,2,1,98133
810000,3480,4,2,98072
885000,2730,4,1.5,98115
247000,1580,3,2,98023
296500,2170,3,1,98032
141800,930,2,1,98056
333000,1580,4,2,98144
602000,3290,5,1.5,98052
565000,2110,4,2,98027
373000,1670,3,2,98072
588000,2030,3,1,98052
485000,1500,3,1.5,98107
482500,1450,3,2,98122
251200,1310,4,1,98148
869000,4180,5,2,98027
464000,1630,3,1,98072
755000,2660,4,2,98052
280000,1720,3,2,98056
485000,1260,2,3,98103
305000,1610,3,1,98058
110700,680,2,1,98188
850000,2640,4,2,98136
350000,1640,3,2,98007
319950,2310,4,1,98058
700000,2010,3,1,98122
368000,1660,2,1,98146
433500,2200,3,2,98118
611000,2460,4,2,98074
1000000,2430,2,1,98177
307000,1370,3,1,98014
442500,1800,3,1,98058
485000,2200,3,2,98198
367000,700,2,1,98117
429000,1920,3,2,98045
446000,2190,5,1,98028
572500,2030,3,1,98059
477000,1350,3,3,98117
518000,1680,3,2,98117
462000,1250,5,1,98007
1190000,2240,4,1.5,98109
137000,950,3,1,98106
530000,2320,3,2,98033
818000,2380,2,1,98053
640000,1540,2,3,98122
298450,2100,5,1,98003
575000,2500,4,2,98065
730000,3230,4,2,98075
551000,2830,3,2,98028
271310,870,2,1.5,98144
675000,2690,4,1,98166
479000,1260,3,3,98109
520000,2680,4,2,98125
599950,2660,3,2,98118
483945,1480,2,1,98116
390000,1770,4,1,98058
192500,950,2,1,98168
330000,860,2,1,98146
250000,1960,4,1,98031
243000,1770,2,1.5,98178
575000,1280,4,1,98117
639000,2150,4,2,98052
710000,1790,2,1,98112
675000,1990,3,2,98052
405000,2430,5,2,98058
615000,2820,4,1,98006
490000,1910,3,1,98117
467000,1270,3,2,98107
480000,2050,4,1,98116
755000,2150,6,1,98119
760000,2450,4,1,98006
387000,1230,2,2,98144
925000,2260,4,1,98033
415000,1050,2,1,98001
263000,1570,3,2,98031
519900,1820,4,1,98052
570000,1540,2,1,98116
450000,2060,3,1,98077
1300000,4380,4,1,98053
300000,1090,3,1,98052
320000,1480,3,1,98056
387500,1320,4,1.5,98122
458000,2140,1,1,98072
1212500,4560,4,1,98006
380000,2800,4,2,98038
200000,1050,3,1,98056
385000,1490,3,1,98028
396675,1730,2,2,98126
452000,1210,4,1.5,98103
426000,2800,4,2,98038
792000,1570,3,2,98109
315000,1400,3,1,98092
1275000,2850,4,1,98117
326000,1880,6,1,98056
268500,790,2,1,98133
440000,1300,2,2,98105
300000,2120,3,1,98059
525000,1540,3,2,98126
978000,2620,4,1.5,98144
1125000,2880,6,2,98103
700000,1680,4,1.5,98103
315000,790,2,1,98052
309000,1092,3,1.5,98106
219950,1650,3,1,98003
289000,2090,3,2,98042
210000,2180,4,1,98198
260000,1990,4,2,98023
699000,2650,4,2,98125
1800000,4460,4,1,98039
299950,910,3,1,98177
749950,2770,3,2,98008
1100000,2390,3,2,98115
555000,3050,3,1,98055
384000,1700,3,2,98065
499950,3200,5,2,98059
430000,1200,3,1,98108
350000,2220,4,2,98038
620000,2480,3,2,98053
765000,2560,4,1,98052
250000,2500,4,1,98032
376000,1150,2,1,98199
475000,1650,4,1,98133
120750,1140,3,1,98023
1690000,3400,3,1,98105
330000,1180,3,1,98027
619500,1700,3,2,98122
345000,1240,3,1,98006
598000,2890,5,2,98074
335000,1060,3,1,98028
372500,1590,4,2,98133
300000,2860,6,2,98002
194000,820,1,1,98126
507500,2020,3,1,98008
325000,1870,4,1,98034
329900,2170,3,2,98038
329000,1600,4,1,98106
494000,2090,4,1.5,98136
206000,1700,4,1,98002
423000,1940,4,1,98133
259000,1320,3,1,98056
879950,3500,4,1,98146
345600,2800,5,2.5,98122
395000,1080,3,1.5,98115
625000,3550,4,2,98065
439000,2010,3,2,98019
380000,1690,3,2,98108
440000,1270,3,3,98115
415000,1970,3,2,98108
860000,3160,4,2,98033
500000,1210,3,3,98103
953007,3120,4,2,98115
515000,2670,4,2,98059
772000,1640,3,3,98112
329995,2303,4,2,98001
409316,1800,3,2,98065
490000,4460,5,3,98119
305000,1590,2,2,98106
785000,3070,4,2,98027
240000,1330,2,1,98188
325000,990,3,1,98133
535800,1900,4,2,98029
720000,2020,3,3,98103
374000,2000,3,1,98033
189650,1100,2,1,98198
420850,960,1,1,98014
815000,3488,4,2,98074
1065000,1890,2,2,98004
